代码,名称,所属行业
HOVR,New Horizon Aircraft,航空航天和国防
HP,赫尔默里奇和佩恩材料,石油和天然气钻井
HPE,慧与科技,通讯设备
HPP,Hudson Pacific Properties,房地产投资信托 - 写字楼
HPQ,惠普,电脑硬件
HRB,H&R布洛克税务,个性化服务
HRI,Herc Holdings,租赁服务
HRL,荷美尔食品,包装食品
HSTM,健康流科技,健康信息服务
HSY,好时,糖果
HTHT,华住,住宿
HTLD,哈特兰快递,公路运输
HTZ,赫兹租车,租赁服务
HUBB,哈勃集团,电气设备及零件
HUBS,HubSpot,软件 - 应用
HUM,哈门那,医疗计划
HUN,亨斯迈,化工品
HWM,Howmet Aerospace,航空航天和国防
HXL,赫氏,航空航天和国防
IAC,IAC Inc,互联网内容与信息
IAG,Iamgold,黄金
IART,英特格拉生命科学,医疗设备
IBKR,盈透证券,资本市场
IBM,IBM Corp,信息技术服务
IBN,印度工业信贷投资银行,银行 - 地区性
IBP,Installed Building Products,住宅施工
ICD,Independence Contract Drilling,石油和天然气钻井
ICE,洲际交易所,财务数据与证券交易所
ICFI,ICF国际,咨询服务
ICHR,Ichor Holdings,半导体设备与材料
ICLR,Icon PLC,诊断与研究
IDA,Idacorp,公用事业 - 受监管电力
IDCC,InterDigital,软件 - 应用
IDT,万威,电信服务
IDWM,IDW Media,-
IDXX,爱德士,诊断与研究
IEP,伊坎企业,石油和天然气精炼与营销
IEX,IDEX Corp,特种工业机械
IFF,国际香料香精,特种化学品
IIIN,Insteel Industries,金属加工
ILMN,Illumina,诊断与研究
IMAX,IMAX Corp,娱乐
IMO,帝国石油,石油和天然气综合
INBX,Inhibrx,生物技术
INCY,因塞特,生物技术
INFN,英飞朗,通讯设备
INFY,印孚瑟斯,信息技术服务
INGR,宜瑞安,包装食品
